"['Chris Valasek', 'Charlie Miller']",Jeep,控制车辆,,CAN总线网络系统,42186,,,,,汽车网络安全攻击实例解析,数据安全事件
,"['孟加拉国家航空公司', '微星国际']",窃取数据并索要巨额赎金,,MoneyMessage,近期,,,,,定向攻击微星！新勒索“Money Message”索要巨额赎金！,网络攻击事件
攻击者,用户,,,RedLine窃密木马,2022年2月初,全球各地,,登录凭证及其他重要商业数据,,2022年度窃密木马攻击态势报告,网络攻击事件
APT组织,3CX的VoIP客户端3CXDesktopApp,,,,,,"190个国家/地区的超过600,000个公司",,"每天有超过12,000,000名用户",3CXDesktopApp遭遇APT组织供应链攻击分析报告,恶意程序事件
黑客,瑞士网络安全公司Acronis,,,"['PlugX 恶意软件', 'Sunlogin', 'AweSun']",,,,从该公司窃取的数据,,FreeBuf 早报 | AT&T 遭遇供应链攻击；知名网络安全公司Acronis疑遭黑客攻击,网络攻击事件
攻击者,,,,Eval PHP,45017,,,,,攻击者利用废弃的WordPress插件，对网站进行后门攻击,恶意程序事件
TA473（Winter Vivern）,涉入俄乌冲突的欧洲军事、政府与外交组织,攻击邮件系统门户网站,,"['Zimbra', 'Acunetix', '钓鱼邮件', '恶意 URL', 'JavaScript 恶意代码', 'CSRF 攻击', 'PowerShell', 'JavaScript']",近日,,,,,TA473 使用 Zimbra 漏洞攻击欧洲与北约的邮件系统,恶意程序事件
Mirai,南美的一家电信服务商,,,,2023年第一季度,,,,1.3Tbps,2023 Q1 DDoS攻击趋势：由物联网设备转向VPS,网络攻击事件
APT-LY-1007,"['俄罗斯国防部', '俄罗斯铁路部门']",窃取目标机密信息,,,44774,,,,,APT-LY-1007：东欧地区新APT组织针对俄罗斯军队的攻击活动分析,恶意程序事件
,企业,勒索,超过54%的增长,勒索软件,,,6500次,50亿条暴露记录,50亿条,SSL证书如何降低企业网络攻击的风险？,数据安全事件
中间人,"['变频器', 'PLC']",,向变频器发送错误的频率,PROFINET,,,,,,仿伊朗核电欺骗攻击-PROFINET协议中间人攻击复现,数据安全事件
"['匿名黑客', '网络犯罪分子', '黑客组织']","['Acronis', 'FireEye', 'Entrust']","['窃取敏感数据', '搜寻与政府客户相关信息', '窃取机密数据']","['大量敏感数据被盗', '内部资料泄露', '大规模敏感数据被窃取']","['Python脚本', '备份配置内容', '备份操作的屏幕截图', '非常罕见的技术组合']",,['瑞士'],,"['证书文件', '命令日志', '系统配置', '文件系统存档', 'Maria.db数据库', '大规模敏感数据']",['超过21GB'],泄露21GB数据！知名安全公司遭黑客攻击,网络攻击事件
MINERVA安全团队,,释放勒索病毒实现勒索攻击,,反分析技术和防御规避技术,近期,,,,,攻击技术研判 | 蜂鸣器利用对抗沙箱检测技术,恶意程序事件
['Vice Society勒索团伙'],['CommScope'],"['勒索', '泄露员工数据和公司文件']",['员工数据和公司文件被泄露'],['勒索软件'],,['北卡罗来纳州'],,"['员工证件信息', '公司发票', '文件', '银行文件']",['大量'],美国电信巨头遭勒索软件攻击，数万员工数据在暗网泄露,网络攻击事件
攻击者,Sushiswap项目,,约为334万美元,恶意构造router,北京时间2023年4月9日,,,,,零时科技 || 处于“自救期”的SushiSwap是如何被黑客攻击的？,恶意程序事件
攻击者,受害者,分发恶意载荷,,OneNote笔记文件,,,,,,攻击技术研判 | 借助OneNote笔记进行MoTW规避新姿势,恶意程序事件
不明来源的的攻击者,,政府和大型组织,操作系统和文件损坏以及数据丢失,零日漏洞,近日,,,,,Fortinet：新的零日漏洞攻击政府网络，窃取数据,网络攻击事件
Core1337,PyPI,,,"['3m-promo-gen-api', 'Ai-Solver-gen', 'hypixel-coins', 'httpxrequesterv2', 'httpxrequester']",2023 年 1 月 27 日至 2023 年 1 月 29 日,,,,,攻击者 Core1337 仍在进行 Python 供应链攻击,恶意程序事件
身份不明的威胁行为者,"['政府实体', '大型组织']",,,Fortinet FortiOS软件,44992,,,,,CN黑客利用Fortinet的零日漏洞进行网络间谍攻击,网络攻击事件
未经认证的攻击者,Jenkins,执行任意代码,完全被破坏,Jenkins开源自动化服务器,,,,,,Jenkins开源：新的安全漏洞可允许代码执行攻击,恶意程序事件
攻击者,web应用服务器,导致服务器发生了资源被耗尽、访问系统缓慢的问题,,ReDoS,近期,,,,,从一次CPU打满到ReDos攻击和防范,数据安全事件
HiddenLayer创始团队,Cylance,控制客户设备,严重,['模型推断技术（Model Inference Attack）'],,美国,,控制客户设备,,RSA 2023创新沙盒盘点｜HiddenLayer：针对机器学习攻击的防护与响应平台,安全隐患事件
Clasiopa,亚洲一家材料行业的公司,获取访问权限,严重,"['Atharvan', 'Lilith的定制版本', 'Thumbsender', '自定义代理工具']",,亚洲,,文件名列表,,疑似印度黑客针对亚洲材料行业发起攻击,恶意程序事件
攻击者,"['Beeline', 'Beeline客户']",黑客论坛,,,45347,,,"['名字', '姓氏', 'Beeline用户名', '职位', '其他数据']",,亚马逊、波音、宝马等软件供应商Beeline数据库遭攻击,网络攻击事件
Akamai的研究人员,"['Realtek SDK', '华为路由器', 'Hadoop YARN服务器']",,大规模攻击,"['CVE-2014-8361', 'CVE-2017-17215', 'HinataBot', 'Mirai', '基于Go的变体']",2023年1月中旬,,1000,,6733个包,"新的 ""HinataBot ""僵尸网络可以发动大规模的 DDoS攻击",数据安全事件
黑客,美国医疗服务提供商希尔兹医疗保健集团(SHCG),获取敏感数据,影响230多万人的敏感数据,,,美国,230多万,敏感数据,230余万人的敏感数据,FreeBuf 早报 | 亲俄黑客对欧管机构发起大量攻击；美国国土安全部成立人工智能工作组,网络攻击事件
SideCopy组织,印度政府部门,信息窃取、远程控制,,ReverseRAT,近日,,,,,瑞星捕获SideCopy组织针对印度政府的APT攻击,恶意程序事件
